Terminal;Moega;ID Vagão;Produto;Chegada_Trem;Data/Hora Encoste;Data/Hora Início Descarga;Data/Hora Fim Descarga
DDD;Moega LLL;1376379;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:25;17/01/2022 02:42
DDD;Moega LLL;3097613;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:25;17/01/2022 02:42
DDD;Moega LLL;3235360;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:42;17/01/2022 02:50
DDD;Moega LLL;3320177;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:42;17/01/2022 02:50
DDD;Moega LLL;391816;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:42;17/01/2022 02:50
DDD;Moega LLL;8268752;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:55;17/01/2022 03:06
DDD;Moega LLL;879557;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:55;17/01/2022 03:06
DDD;Moega LLL;5887482;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:55;17/01/2022 03:06
DDD;Moega LLL;1885307;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:07;17/01/2022 03:18
DDD;Moega LLL;8239319;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:07;17/01/2022 03:18
DDD;Moega LLL;3428989;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:30;17/01/2022 03:42
DDD;Moega LLL;6260950;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:45;17/01/2022 03:57
DDD;Moega LLL;8191363;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:45;17/01/2022 03:58
DDD;Moega LLL;1665158;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:45;17/01/2022 03:58
DDD;Moega LLL;3473119;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:58;17/01/2022 04:13
DDD;Moega LLL;6994128;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:58;17/01/2022 04:13
DDD;Moega LLL;1979307;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 03:58;17/01/2022 04:13
DDD;Moega LLL;4733891;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:16;17/01/2022 04:25
DDD;Moega LLL;2177376;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:16;17/01/2022 04:25
DDD;Moega LLL;368485;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:28;17/01/2022 04:43
DDD;Moega LLL;1828052;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:28;17/01/2022 04:43
DDD;Moega LLL;4448702;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:28;17/01/2022 04:43
DDD;Moega LLL;7094182;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:46;17/01/2022 05:01
DDD;Moega LLL;2458874;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:46;17/01/2022 05:01
DDD;Moega LLL;4989000;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 04:46;17/01/2022 05:01
DDD;Moega LLL;6575147;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 05:02;17/01/2022 05:09
DDD;Moega LLL;6276721;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 05:02;17/01/2022 05:09
DDD;Moega LLL;1331021;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 05:02;17/01/2022 05:09
DDD;Moega LLL;1430271;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 05:09;17/01/2022 05:16
DDD;Moega LLL;483845;Soja;06/01/2022 02:06;06/01/2022 04:28;06/01/2022 04:40;06/01/2022 04:51
DDD;Moega LLL;1449311;Soja;06/01/2022 02:06;06/01/2022 04:28;06/01/2022 04:40;06/01/2022 04:52
DDD;Moega LLL;3553658;Soja;06/01/2022 02:06;06/01/2022 04:28;06/01/2022 04:40;06/01/2022 04:53
DDD;Moega LLL;3308311;Soja;06/01/2022 02:06;06/01/2022 04:28;06/01/2022 05:03;06/01/2022 05:12
DDD;Moega LLL;5471666;Soja;06/01/2022 02:06;06/01/2022 04:28;06/01/2022 05:04;06/01/2022 05:14
DDD;Moega LLL;4341674;Soja;06/01/2022 02:06;06/01/2022 04:28;06/01/2022 05:05;06/01/2022 05:27
